"Actions","Azioni"
"An error occurred while marking notification as read.","Si è verificato un errore durante la marcatura della notifica come letta."
"An error occurred while marking the messages as read.","Si è verificato un errore durante la marcatura dei messaggi come letti."
"An error occurred while removing messages.","Si è verificato un errore durante la rimozione dei messaggi."
"An error occurred while removing the message.","Si è verificato un errore durante la rimozione del messaggio."
"Are you sure?","Sei sicuro?"
"Date Added","Data aggiornata"
"Last Update","Ultimo aggiornamento"
"Mark as Read","Marca come già letto"
"Mark as read","Marca come già letto"
"Message","Messaggio"
"Messages Inbox","Messaggi in arrivo"
"Notifications","Notifiche"
"Please select messages.","Selezionare i messaggi."
"Read Details","Leggi i dettagli"
"Remove","Rimuovi"
"Severity","Difficoltà"
"Show List","Mostra elenco"
"Show Toolbar","Mostra barra degli strumenti"
"The message has been marked as read.","Il messaggio è stato marcato come letto."
"The message has been removed.","Il messaggio è stato rimosso."
"Total of %d record(s) have been marked as read.","Un totale di %d risultati sono stati marcati come letti."
"Total of %d record(s) have been removed.","Un totale di %d risultati sono stati rimossi."
"Unable to proceed. Please, try again.","Impossibile continuare. Riprovare."
"Update Frequency","Frequenza di aggiornamento"
"Use HTTPS to Get Feed","Utilizza HTTPS per i Feed"
"critical","critico"
"major","principale"
"minor","secondario"
"notice","notifica"
