" and ","e"
" note that the URLs provided below are the correct values for your current website): "," Nota che gli URLs forniti di seguito sono i valori corretti per il tuo sito corrente): "
"(For Type """"Local Server"""" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Per il tipo """"Server Locale"""" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(Per i nomi degli stati US 2-lettere)"
"(If left empty will be auto-generated)","(Se lasciato vuoto sarà auto-generato)"
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Include più paesi rispetto a quelli elencati di seguito. Come proprietario dell\'applicazione, sei responsabile del rispetto delle specifiche leggi del paese relative alla distribuzione o alla vendita dell\'applicazione nel paese considerato, includendo anche la tua patria.)"
"(Leave empty for first spreadsheet)","(Lasciare vuoto per il primo foglio di calcolo)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(I prodotti saranno aggiunti /aggiornati in questo negozio se la colonna “negozio”viene lasciata bianca o è mancante nel file importato.)"
"(Shift-)Click or drag to change value","(Shift-)Click o trascina per modificare il valore"
"(Starting with)","(A partire da)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Se 'No', solo i campi mappati saranno importati. Quando si esegue la mappatura, utilizzare 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Devi incrementare php memory_limit prima di modificare questo valore)"
"(\\t for tab)","(\\t per scheda)"
"- Click on any of the time parts to increase it","- Clicca in una qualsiasi parte dei componenti per incrementarli"
"- Hold mouse button on any of the above buttons for faster selection.","- Tieni premuto il tasto del mouse su un qualsiasi pulsante per una selezione rapida."
"- Use the %s buttons to select month","- Utilizzare %s per selezionare il mese"
"- Use the %s, %s buttons to select year","- Utilizzare %s, %s per selezionare l\'anno"
"- or Shift-click to decrease it","- o Shift-click per diminuirlo"
"- or click and drag for faster selection.","- o premi e trascina per una selezione rapida."
"-- Please Select Billing Agreement--","-- Selezionare l\'accordo di fatturazione--"
"10:40 AM","10:40 AM"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"ASCII","ASCII"
"About the calendar","Informazioni sul calendario"
"Access denied.","Accesso negato."
"Account Created in:","Account Creato in:"
"Account Created on (%s):","Account Creato su (%s):"
"Account Created on:","Account Creato su:"
