"* Required Fields","* Campi obbligatori"
"-- Select --","-- Seleziona --"
"Add New Option","Aggiungi una nuova opzione"
"Add Selection","Aggiungi selezione"
"As Low as","A partire da "
"As low as","A partire da "
"Bundle Items","Articoli Bundle"
"Bundle Product","Prodotti Bundle"
"Buy %1$s with %2$s discount each","Compra %1$s con %2$s di sconto per ciascuno"
"Catalog Product View (Bundle)","Vista prodotti catalogo (Bundle)"
"Checkbox","Checkbox"
"Choose a selection...","Scegli una selezione..."
"Close","Chiuso"
"Default","Predefinito"
"Default Qty","Qtà predefinita"
"Default Title","Titolo predefinito"
"Drop-down","Drop-down"
"Dynamic","Dinamico"
"Excl. Tax","Escl. Tasse"
"Fixed","Fixed"
"From","Da"
"From:","Da:"
"Gift Message","Gift Message"
"Incl. Tax","Incl. Tasse"
"Input Type","Tipo in ingresso"
"Is Required","È obbligatorio"
"Message:","Messaggio:"
"Multiple Select","Selezione multipla"
"N/A","N/A"
"No options of this product are available.","Nessuna opzione disponibile per questo prodotto."
"None","Nessuno"
"Percent","Percentuale"
"Percent Discount","Percentuale di sconto"
"Please Select Products to Add","Selezionare i prodotti da aggiungere"
"Please enter search conditions to view products.","Inserire le condizioni di ricerca per visualizzare i prodotti."
"Please select options for product.","Selezionare le opzioni per il prodotto."
"Please specify product option(s).","Specificare opzione/i del prodotto."
"Position","Posizione"
"Price Range","Fascia di prezzo"
"Price Type","Tipo prezzo"
"Price as configured","Prezzo come configurato"
"Qty:","Qtà:"
"Radio Buttons","Radio buttons"
"Required options are not selected.","Le opzioni obbligatorie non sono selezionate."
"Selected required options are not available.","Le opzioni obbligatorie selezionate non sono disponibili."
"Separately","Separatamente"
"Ship Bundle Items","Spedizione prodotti Bundle"
"Shipment","Spedizione"
"Store View Title","Vista titolo negozio"
"There is no defined renderer for ""%s"" option type.","Non è definito il render per il tipo di opzione ""%s""."
"This product is also part of bundle(s)","Questo prodotto è anche parte dei bundle(s)"
"To","A"
"To:","A:"
"Together","Insieme"
"Use Default Value","Usa valore predefinito"
"User Defined Qty","Qtà definita utente"
