# of Use,# di utilizzo
%1$s incl tax.,%1$s incl tasse.
%s - %s,%s - %s
%s Item(s),%s Prodotto/I
(%d),(%d)
(Copy data from: %s),(Copia dati da: %s)
(Will make search for the query above return results for this search.),(La ricerca per la query qui sopra inizierà dopo il risultato di questa ricerca.)
* Required Fields,* Campi obbligatori
-- Please Select --,-- Selezionare --
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 impostare come predefinito, se non è impostato. Per ricaricare istantaneamente, svuotare i  blocchi HTML Output Cache."
A group with the same name already exists.,Esiste già un gruppo con lo stesso nome.
A name is required,È richiesto un nome
A product type is not defined for the indexer.,Il tipo di prodotto non è definito per l\'indicizzazione.
ALL GROUPS,TUTTI I GRUPPI
AM,AM
Action,Azione
Add Attribute,Aggiungi attributo
Add Design Change,Aggiungi modifica di design
Add Group,Aggiungi gruppo
Add New,Aggiungi nuovo
Add New Attribute,Aggiungi un nuovo attributo
Add New Attribute Set,Aggiungi un nuovo Set di attributi
Add New Group,Aggiungi nuovo gruppo
Add New Images,Aggiungi nuove immagini
Add New Option,Aggiungi nuove opzioni
Add New Row,Aggiungi nuova riga
Add New Search Term,Aggiungi un nuovo termine di ricerca
Add New Set,Aggiungi nuovo set
Add Product,Aggiungi prodotto
Add Product To Websites,Aggiungi prodotto al sito
Add Root Category,Aggiungi categoria root
Add Subcategory,Aggiungi sottocategoria
Add Tax,Aggiungi tasse
Add Tier,Aggiungi fascia
Add to Cart,Aggiungi al carrello
Add to Compare,Confronta
Add to Wishlist,Aggiungi alla Wishlist
Additional Information,Ulteriori informazioni
Alert Urls,Url di allerta
All,Tutto
All Product Types,Tutti i tipi di prodotto
All Websites,Tutti i siti
All products of this set will be deleted! Are you sure you want to delete this attribute set?,Tutti i prodotti di questo set saranno cancellati! Sei sicuro di voler cancellare questo set di attributi?
Allow All Products per Page,Consenti tutti i prodotti per pagina
Allow Dynamic Media URLs in Products and Categories,Consenti URL dinamici media nei prodotti e nelle categorie
Allow HTML Tags on Frontend,Consenti tags HTML nel Frontend
Allowed File Extensions,Estensione file permesse
Allowed file extensions to upload,Estensione file permessa per il caricamento
