"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Le regole del prezzo nel catalogo basate sull\'attributo ""%s"" sono state disabilitato."
"Actions","Azioni"
"Active","Attivo"
"Add New Rule","Aggiungi nuova regola"
"An error occurred while deleting the rule. Please review the log and try again.","Si è verificato un errore durante la cancellazione della regola. Consulta il registro e prova di nuovo."
"An error occurred while saving the rule data. Please review the log and try again.","Si è verificato un errore durante il salvataggio dei dati della regola. Consulta il registro e prova di nuovo."
"Apply Rules","Applica regole"
"Attribute Set","Set attributi"
"Catalog","Catalogo"
"Catalog Price Rule","Regola prezzo catalogo"
"Catalog Price Rules","Regole prezzo catalogo"
"Category","Categoria"
"Conditions","Condizioni"
"Conditions (leave blank for all products)","Condizioni (lasciare bianco per tutti i prodotti)"
"Conditions Combination","Combinazione condizioni"
"Customer Groups","Gruppi cliente"
"Customer Registered: %s","Cliente registrato: %s"
"Customer is a New Buyer: %s","Il cliente è un nuovo acquirente: %s"
"Date Expire","Data di scadenza"
"Date From","Periodo dal"
"Date Start","Data inizio"
"Date To","Data di"
"Delete Rule","Cancella regola"
"Description","Descrzione"
"Description: %s","Descrizione: %s"
"Edit Rule","Modifica regola"
"Edit Rule '%s'","Edit Rule '%s'"
"Expire at: %s","Scade il: %s"
"From Date","Dalla data"
"General Information","Informazioni generali"
"ID","ID"
"Inactive","Inattivo"
"NOT LOGGED IN","NON LOGGATO"
"Name: %s","Nome: %s"
"New Rule","Nuova regola"
"No","No"
"Options","Opzioni"
"Priority","Priorità"
"Product Attribute","Attributo prodotto"
"Promotions","Promozioni"
"Rule Information","Informazioni regola"
"Rule Name","Nome regola"
"Save Rule","Salva regola"
"Save and Apply","Salva e applica"
"Save and Continue Edit","Salva e continua la modifica"
"Start at: %s","Inizia da: %s"
"Status","Stato"
"Stop Further Rules Processing","Ferma ulteriori elaborazioni regole"
"The rule has been deleted.","La regola è stata cancellata."
"The rule has been saved.","La regola è stata salvata."
"The rules have been applied.","La regola è stata applicata."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Ci sono delle regole che sono state modificate ma non applicate. Clicca applica regole per vedere immediatamente l\'effetto sul catalogo."
"This rule no longer exists.","Questa regola non esiste più."
"To Date","Alla data"
"Unable to apply rules.","Impossibile applicare le regole."
"Unable to find a rule to delete.","Impossibile trovare la regola da cancellare."
"Update product's %s %s: %s","Aggiornamento dei prodotti %s %s: %s"
"Websites","Siti web"
"Wrong rule specified.","Regola specificata errata."
"Yes","Si"
