"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Scheduled Tasks) – tutti i tempi sono in minuti"
"Daily","Giornaliero"
"Failure History Lifetime","Fallimento storia completa"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Per una corretta generazione degli URL durante l\'esecuzione cron assicurati che questo Web > Secure and Unsecure Base URLs siano impostate in modo esplicito."
"Generate Schedules Every","Genera programma ogni volta"
"History Cleanup Every","Pulisci storia ogni volta"
"Invalid callback: %s::%s does not exist","Richiamo non valido: %s::%s non esiste"
"Invalid model/method definition, expecting ""model/class::method"".","Definizione modello/metodo non valido, attendi ""modello/classe::metodo""."
"Missed if Not Run Within","Errato se non eseguito entro"
"Monthly","Mensile"
"No callbacks found","Nessun richiamo trovato"
"Schedule Ahead for","Programma prima per"
"Success History Lifetime","Storia totale eseguita con successo"
"Too late for the schedule.","Troppo tardi per il programma"
"Unable to save the cron expression.","Impossibile salvare l\'espressione cron."
"Unknown error.","Errore sconosciuto"
"Weekly","Settimanalmente"
