"""%s"" contains not only digit characters.","""%s"" non contiene soltanto i caratteri digitati."
"""%s"" does not fit the entered date format.","""%s"" non è composto dal formato della data inserita."
"""%s"" exceeds the allowed file size.","""%s"" ha superato la grandezza del file richiesta."
"""%s"" exceeds the allowed length.","""%s"" ha superato la lunghezza richiesta."
"""%s"" has not only alphabetic and digit characters.","""%s"" non ha soltanto caratteri numerici e alfabetici."
"""%s"" has not only alphabetic characters.","""%s"" non ha soltanto caratteri alfabetici."
"""%s"" height exceeds allowed value of %s px.","""%s"" altezza superiore a quella richiesta di %s px."
"""%s"" invalid type entered.","""%s"" tipo inserito non valido."
"""%s"" is a required value.","""%s"" è un valore obbligatorio."
"""%s"" is an empty string.","""%s"" è una stringa vuota."
"""%s"" is not a valid URL.","""%s"" non è un URL valido."
"""%s"" is not a valid date.","""%s"" non è una data valida."
"""%s"" is not a valid email address.","""%s"" inon è un indirizzo email valido."
"""%s"" is not a valid file","""%s"" non è un file valido."
"""%s"" is not a valid file extension.","""%s"" non è un\'estensione del file valida"
"""%s"" is not a valid file.","""%s"" non è un file valido."
"""%s"" is not a valid hostname.","""%s""non è un nome host valido."
"""%s"" is not a valid image format","""%s"" non è un formato immagine valido."
"""%s"" length must be equal to or greater than %s characters.","""%s"" la lunghezza deve essere uguale o maggiore di %s caratteri."
"""%s"" length must be less than or equal to %s characters.","""%s"" la lunghezza deve essere uguale o minore di %s caratteri."
"""%s"" width exceeds allowed value of %s px.","""%s"" la larghezza supera il valore richiesto di %s px."
%value%' appears to be a DNS hostname but cannot extract TLD part,%value%' sembra essere un hostname DNS ma è impossibile estrarre la parte TLD
%value%' appears to be a DNS hostname but cannot match TLD against known list,%value%' sembra essere un hostname DNS ma non c\'è corrispondenza con la lista TLD nota
%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%',%value%' sembra essere un hostname DNS ma non c\'è corrispondenza con lo schema hostname per TLD '%tld%'
%value%' appears to be a DNS hostname but contains a dash in an invalid position,%value%' sembra essere un hostname DNS ma contiene un trattino in una posizione non valida
%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded,%value%' sembra essere un hostname DNS ma la notazione punycode fornita non può essere decodificata
%value%' appears to be a local network name but local network names are not allowed,%value%' sembra essere un nome di un network locale ma i nomi dei network locali non sono permessi
"%value%' appears to be an IP address, but IP addresses are not allowed","%value%' sembra essere un indirizzo IP, ma gli indirizzi IP non sono permessi"
%value%' does not appear to be a valid URI hostname,%value%' non sembra essere un valido URI hostname
%value%' does not appear to be a valid local network name,%value%' non sembra essere un nome valido per un network locale
%value%' does not match the expected structure for a DNS hostname,%value%' non corrisponde alla struttura prevista per un hostname DNS 
* Required Fields,* Campi richiesti
A new password has been sent.,Una nuova password è stata inviata
ALL GROUPS,TUTTI I GRUPPI
Account Dashboard,Bacheca Account
Account Information,Informazione account
Account Sharing Options,Opzioni di condivisione account
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Conferma account richiesto. Per favore, controlla la tua e-mail per il link di conferma.. Per rinviare l\'email di conferma  <a href=""%s"">clicca qui</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Conferma account richiesto. Per favore, controlla la tua e-mail per il link di conferma.. Per rinviare l\'email di conferma   <a href=""%s"">clicca qui</a>."
Action,Azione
Add New Address,Aggiungi nuovo indirizzo
Add New Customer,Aggiungi nuovo cliente
Add New Customer Group,Aggiungi nuovo gruppo cliente
Added From,Aggiunto da
Additional Address Entries,Voci indirizzi aggiuntivi
Address,Indirizzi
Address Book,Rubrica
Address Books,Rubriche
Address Information,Informazioni indirizzo
Address Templates,Templates indirizzo
Addresses,Indirizzi
Admin,Amministratore
All,Tutto
All Store Views,Visualizza tutti i negozi
All countries,Tutti i paesi
Always optional.,Sempre opzionale.
Amount,Importo
