"-OR-","-O-"
"2-pixel perimeter around the header space.","Perimetro attorno allo spazio dell\'header di 2-pixel."
"3D Secure","3D Secure"
"3D Secure Card Validation","3D Secure Validazione Carta"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Validazione 3D Secure  è richiesta per carte Maestro. Il supporto per carte American Express richiede un accordo addizionale. Per saperne di più vedere <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Inizio accettazione pagamento via PayPal!</a>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","È richiesto un valore per la modalità live. Riferirsi al proprio accordo CardinalCommerce."
"ACH Deposit (Hold for Dispute or Other Investigation)","Deposito ACH (Hold for Dispute or Other Investigation)"
"ACH Deposit (Reversal)","Deposito ACH (Reversal)"
"ACH Funding for Funds Recovery from Account Balance","ACH Funding per recupero fondi dal bilancio del profilo"
"ACH Withdrawal","Prelievo ACH"
"API Authentication Methods","Metodo di autenticazione API"
"API Certificate","Certificato API"
"API Password","Password API"
"API Signature","Firma API"
"API Username","Nome utente API"
"API Uses Proxy","API usa Proxy"
"API/Integration","Api/Integrazione"
"API/Integration Settings","API/Settaggi integrazione"
"Ability for buyer to purchase without PayPal account.","Possibilità per l\'acquirente di comprare senza account PayPal."
"Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway.","Accetta pagamenti PayPal nel tuo carrello della spesa. PayPal elaborerà I pagamenti della tua carta di credito attraverso il Gateway Payflow Pro."
"Accept payments without customers leaving your website. Many popular web-hosting services and shopping carts come with the Payflow payment gateways built in, so they are easy to set up.","Accetta pagamenti senza che l\'utente lasci il tuo sito. Molti servizi di web-hosting e carrelli spesa includono il Gateway di pagamento Payflow, quindi sono semplici da impostare."
"Acceptance Mark","Accettazione Mark"
"Acceptance Mark Image","Accettazione immagine Mark"
"Account-to-Account Payment, initiated by PayPal","Pagamento Account-to-Account, iniziato da PayPal"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","Aggiungi un bottone Vai all Cassa diretto,  al tuo carrello esistente, per pagamenti facili e veloci da carta di credito. PayPal gestirà tutti I processi di pagamento."
"Additional Options","Opzioni addizionali"
"Address Verification System Response","Risposta Sistema Verifica Indirizzo"
"All the address information matched","Tutte le informazioni di indirizzo combaciano"
"Allow in Billing Agreement Wizard","Consenti Wizard Accordo in Fatturazione"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Valori consentiti: ""paypal"", ""primario"" (predefinito), tuo_valore_custom (una pagina stile pagamento custom dal tuo account profilo venditore)."
"Allowed Credit Card Types","Typi di carta di credito accettati"
"Also affects mini-shopping cart.","Valido anche per mini-carrello della spesa."
"Api/Integration","Api/Integrazione"
"Ask Customer","Chiedi al cliente"
"Attempted Authentication, Bad Result","Tentativo di autenticazione, Risultato Non Corretto"
"Attempted Authentication, Good Result","Tentativo di autenticazione, Risultato Corretto"
"Auction Payment other than through eBay","Altro Pagamento Asta oltre eBay"
"Authenticated, Bad Result","Autenticato, Risultato Non Corretto"
"Authenticated, Good Result","Autenticato, Risultato Corretto"
"Authorization","Autorizzazione"
"Authorization transaction is required to void.","E\' richiesta autorizzazione Transazione vuota"
"Auto","Automatico"
"AutoSweep","AutoSweep"
"Available Balance","Bilancio Disponibile"
"Balance Manager Account Bonus","Balance Manager Account Bonus"
"Billing Address","Indirizzo di Fatturazione"
"Billing Agreement Signup ","Iscrizione Accordo di Fatturazione"
"Billing Information","Informazioni fatturazione"
"Bonus for first ACH Use","Bonus per primo uso ACH"
"Buyer Credit Payment","Pagamento Credito Compratore"
"By default it is ""reports.paypal.com"".","Questo è predefinito su ""reports.paypal.com""."
"CVV2 Check Result by PayPal","CVV2 Risultato verifica di PayPal"
"Can not send new order email.","Impossibile inviare nuovo ordine email."
"Cannot create target file for reading reports.","Impossibile creare il file target per leggere I resoconti."
"Centinel API URL","Centinel API URL"
"Centinel Api URL","Centinel Api URL"
"Centinel Custom Api URL","Centinel Api URL predefinita"
"Change Payment Method","Cambia Metodo di pagamento"
"Change Shipping Address","Cambia indirizzo di spedizione"
"Charge-off","Charge-off"
"Chargeback","Chargeback"
"Chargeback by customer.","Chargeback dal cliente"
"Checkout with PayPal","Completa l\'acquisto con PayPal"
"Completion Date","Data di Completamento"
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","connessione in corso al server PayPal SFTP per acquisire nuovi rapporti. Sicuro di voler procedere?"
"Countries Payment Applicable From","Modulo di paesi validi per il pagamento"
"Coupon Redemption","Rimborso Coupon"
"Credit","Credito"
"Credit Card Settings","Impostazioni Carta di Credito"
"Currency Conversion required to cover negative balance","Conversione valuta richiesta per coprire bilancio negativo"
"Custom","Personalizzato"
"Custom Endpoint Hostname or IP-Address","Endpoint Hostname o indirizzo IP Personalizzato"
"Custom Path","Path  Personalizzata"
"Customer complaint.","Reclamo Cliente."
"Customer did not include a confirmed address.","Il cliente non ha inserito un indirizzo confermato."
"Customer triggered a money-back guarantee.","Il cliente ha innescato una garanzia money-back."
"Daily","Giornalmente"
"Debit","Debito"
"Debit Card Cash Back","Cash Back Carta di Debito"
"Debit Card Transaction","Transazione Carta di Debito"
"Debit or Credit","Credito o Debito"
"Debug Mode","Modalità Debug"
"Direct Payment API","Pagamento Diretto API"
"Discount","Sconto"
"Displays on catalog pages and homepage.","Mostra su pagine catalogo ed hompage"
"Don\'t have a PayPal account? Simply enter your email address.","Non hai un account PayPal? Inserite semplicemente il vostro indirizzo email."
"Don’t have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway.","Non avete un account venditore PayPal? Puoi ancora accettare pagamenti con carta di credito tramite il Gateway Payflow Pro."
"Dynamic","Dinamico"
"EFT Funding (German banking)","EFT Funding (German banking)"
"Edit Shopping Cart","Modifica Carrello della spesa"
"Email Associated with PayPal Merchant Account","Email associata con l'account PayPal Venditore"
"Enable Automatic Fetching","Abilita recupero Automatico"
"Enable PayPal Guest Checkout","Abilita acquisto ospite PayPal "
"Enabled","Abilitato"
"Event","Evento"
"Event Code","Codice Evento"
"Every 10 days","Ogni 10 giorni"
"Every 14 days","Ogni 14 giorni"
"Every 3 days","Ogni 3 giorni"
"Every 30 days","Ogni 30 giorni"
"Every 40 days","Ogni 40 giorni"
"Every 7 days","Ogni 7 giorni"
"Exact Match. Address and Postal Code. International","Corrispondenza Esatta. Indirizzo e Codice Avviamento Postale. Internazionale"
"Exact Match. Address and Postal Code. UK-specific","Corrispndenza Esatta. Indirizzo e Codice Avviamento Postale. Specifico UK"
