"*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","*' - corrisponde a uno qualsiasi; 'xyz*' - corrisponde a uno qualsiasi che inizi 'xyz' e non più lungo di %d."
"-- Please Select --","-- Selezionare --"
"Add New Class","Aggiungi una nuova classe"
"Add New Tax Rate","Aggiungi un nuovo tasso fiscale"
"Add New Tax Rule","Aggiungi una nuova regola all'imposta"
"After Discount","Dopo lo sconto"
"An error occurred while deleting this rate.","An error occurred while deleting this rate."
"An error occurred while deleting this rate. Incorrect rate ID.","An error occurred while deleting this rate. Incorrect rate ID."
"An error occurred while deleting this tax class.","An error occurred while deleting this tax class."
"An error occurred while deleting this tax rule.","An error occurred while deleting this tax rule."
"An error occurred while saving this rate.","An error occurred while saving this rate."
"An error occurred while saving this tax class.","An error occurred while saving this tax class."
"An error occurred while saving this tax class. A class with the same name already exists.","An error occurred while saving this tax class. A class with the same name already exists."
"An error occurred while saving this tax rule.","An error occurred while saving this tax rule."
"Apply Customer Tax","Apply Customer Tax"
"Apply Discount On Prices","Applica sconto al prezzo"
"Apply Tax On","Applica tassa su"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Lo sconto applicato incluse le tasse è caolcolato in base alle tasse del negozio, se “Applica tasse dopo lo sconto” è selezionato."
"Are you sure you want to do this?","Sei sicuro?"
"Back","Indietro"
"Before Discount","Prima dello sconto"
"CSV","CSV"
"Calculation Settings","Calcola impostazioni"
"Catalog Prices","Prezzo del catalogo"
"Class Name","Nome classe"
"Code","Codice"
"Country","Paese"
"County","Circoscrizione"
"Custom price if available","Prezzo personalizzato se disponibile"
"Customer Tax Class","Classe fiscale cliente"
"Customer Tax Class Information","Informazioni classe fiscale cliente"
"Customer Tax Classes","Classi fiscali cliente"
"Default Country","Paese predefinito"
"Default Post Code","CAP predefinito"
"Default State","Stato predefinito"
"Default Tax Destination Calculation","Calcolo tassa in base alla destinazione predefinito"
"Delete Class","Elimina classe"
"Delete Rate","Elimina tariffa"
"Delete Rule","Elimina regola"
"Display Full Tax Summary","Visualizza sommario tasse completo"
"Display Prices","Visualizza prezzi"
"Display Product Prices In Catalog","Visualizza prezzi prodotti in catalogo"
"Display Shipping Amount","Visualizza importo di spedizione"
"Display Shipping Prices","Visualizza prezzi di spedizione"
"Display Subtotal","Visualizza subtotole"
"Display Zero Tax Subtotal","Visualizza tasso zero su subtotale"
"Edit Class","Modifica classe"
"Edit Class '%s'","Modifica classe '%s'"
"Edit Rule","Modifica regola"
"Edit Tax Rate","Modifica Tax Rate"
"Excel XML","Excel XML"
"Excl. Tax","Tasse escuse"
"Excl. Tax:","Tasse escuse:"
"Excluding Tax","Escludendo tasse"
"Export Tax Rates","Esporta Tax Rates"
"Grand Total (Excl. Tax)","Totale complessivo (tasse escluse)"
"Grand Total (Excl.Tax)","Totale complessivol (tasse escluse)"
"Grand Total (Incl. Tax)","Totale complessivo (tasse incluse)"
"Grand Total (Incl.Tax)","Totale complessivo (tasse incluse)"
"Grand Total Excl. Tax","Totale complessivo tasse escluse"
"Grand Total Incl. Tax","Totale complessivo tasse incluse"
"Importa / Esporta Tax Rates","Import / Export Tax Rates"
"Import Tax Rates","Import Tax Rates"
"Inc. Tax"," Tasse incluse"
"Incl. Tax"," Tasse incluse"
"Incl. Tax:"," Tasse incluse:"
"Include Tax In Grand Total","Includi tasse nel totale complessivo"
"Including Tax","Includendo tasse"
"Including and Excluding Tax","Includendo ed escludendo tasse"
"Invalid file format upload attempt","Tentativo caricamento formato file non valido fallito"
"Invalid file upload attempt","Tentativo caricamento file fallito"
"Manage Customer Tax Classes","Gestione classi fiscali cliente"
"Manage Product Tax Classes","Gestione classi tasse prodotti"
"Manage Tax Rates","Gestisci Tax Rates"
"Manage Tax Rules","Gestisci regole tasse"
"Manage Tax Zones & Rates","Gestisci Tax Zones & Rates"
"Name","Nome "
"New Class","Nuova classe"
"New Rule","Nuova regola"
"New Tax Rate","Nuovo Tax Rate"
"No","No"
"None","Nessuna"
"One of the country has invalid code.","Uno dei Paesi ha il codice non valido"
"Orders, Invoices, Creditmemos Display Settings","Ordini, Fatture, Note di credito Visualizza impostazioni"
"Original price only","Soltanto prezzo iniziale"
"Price Display Settings","Visualizza impostazione prezzi"
"Priority","Priorità"
"Product Tax Class","Classe tasse prodotti"
