" But cart has some errors.","Il carrello ha alcuni errori."
"""""Description"""" is more than %d characters long","""""Descrizione"""" è più lunga di %d caratteri"
"""Title"" is more than %d characters long","""Title"" ha più di %d caratteri"
"%1$s has been added to your wishlist.","%1$s è stato aggiunto alla Wishlist."
"%s API Key required.","%s chiave API richiesta."
"%s Application ID required.","%s ID applicazione richiesto."
"%s Secret Key required.","%s chiave segreta richiesta."
"%1$s incl tax.","%1$s tasse incluse."
"Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","Iinclude più paesi di quelli elencati di seguito. Come proprietario dell\'applicazione, sei responsabile della compatibilità con le norme specifiche relativa alla distribuzione e alla vendita dell\'applicazione nel paese considerato, compresa la tua patria.)"
"%s has been added to your cart.","%s è stato aggiunto al carrello."
"10:40 AM","10:40 AM"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Il solo catalogo applicazione non sopporta funzioni come aggiungi al carrello, wishlist o accedi."
"A new password has been sent.","Una nuova password è stata inviata"
"*Subject to change","*Soggetto da cambiare"
"Account","Account"
"Account confirmation is required. Please check your email for the confirmation link. ","È richiesta la conferma dell\'account. Controlla la tua email per il link di conferma."
"Account information has been saved.","Le informazioni dell\'account sono state salvate."
"<a href=""""%s"""" target=""""_blank"""">Login</a> to Urabn Airship.","<a href=""""%s"""" target=""""_blank"""">Login</a> to Urabn Airship."
"Action","Azione"
"Activate","Attiva"
"Activate PayPal Checkout","Attiva pagamento PayPal"
"Activation Key","Codice di attivazione"
"Add App","Aggiungi applicazione"
"Add More Templates","Aggiungi altri Templates"
"Add New Template","Aggiungi nuovo Template"
"Add Page","Aggiungi pagina"
"Add to Cart","Aggiungi al carrello"
"Add to Wishlist","Aggiungi alla Wishlist"
"Additional Address","Indirizzi aggiuntivi"
"Additional Product Info","Informazioni prodotto aggiuntive"
"Address","Indirizzo"
"Address 2","Indirizzo 2"
"Address data not specified.","Campo Indirizzo non specificato."
"Address does not belong to this customer.","L\'indirizzo non appartiene a questo cliente."
"Address has been deleted.","L\'indirizzo è stato cancellato."
"Address has been saved.","L\'indirizzo è stato salvato."
"Administrative contact for this app and for app submission issues.","Contatto amministrativo per questa applicazione e per presentazione applicazione."
"Advanced Settings","Impostazioni avanzate."
"After submitting the App to Magento, please contact <a href=""""mailto:%1$s"""">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.","Dopo aver imesso l\'app in Magento, per favore contatta <a href=""""mailto:%1$s"""">%1$s</a> per ricevere la Chiave Applicazione, il Segreto Applicazione e il Segreto Maestro Applicazione"
"AirMail Message Queue","Messaggio AirMail in coda   "
"AirMail Messages Queue","Coda messaggi AirMail "
"AirMail Template Preview","AirMail Template anteprima"
"All locations","Tutte le località"
"AirMail message","AirMail messaggi"
"AirMail templates","AirMail templates"
"All Allowed Countries","Tutti i paesi permessi"
"An account with this email address already exists.","Esiste già un account con questa email."
"An error occurred while adding item to wishlist.","Errore riscontrato nell\'aggiunta dell\'oggetto alla wishlist."
