"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","Tutte le carte di credito / Visa, Mastercard, AMEX, JCB, Diners (fornito da Moneybookers) – Internazionale"
"CartaSi (powered by Moneybookers) - Italy","CartaSi (fornito da Moneybookers) – Italia"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue (fornito da Moneybookers) – Francia"
"Customer ID","ID utente"
"Dankort (powered by Moneybookers) - Denmark","Dankort (fornito da Moneybookers) – Danimarca"
"EPS Online-Überweisung (powered by Moneybookers) - Austria","EPS Online-Überweisung (fornito da Moneybookers) - Austria"
"Enabled","Attivato"
"Find out more about Online Bank Transfer","Per saperne di più sui trasferimenti bancari online"
"Giropay (powered by Moneybookers) - Germany","Giropay (fornito da Moneybookers) – Germania"
"Laser (powered by Moneybookers) - Ireland","Laser (fornito da Moneybookers) – Irlanda"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift (ELV) (fornito da Moneybookers) – Germania"
"Loading secure payment page (SSL)","Carica la pagina di pagamento sicuro (SSL)"
"Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain","Maestro (fornito da Moneybookers) – Regno Unito, Austria, Spegna"
"Moneybookers","Moneybookers"
"Moneybookers Settings","Impostazioni Moneybookers "
"Moneybookers Transaction ID: %s","ID transizione Moneybookers  : %s"
"Moneybookers eWallet","Moneybookers eWallet"
"More information about Moneybookers","Altre informazioni su Moneybookers"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo (fornito da Moneybookers) – Finlandia"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo (fornito da Moneybookers) – Svezia"
"Online Bank Transfer (powered by Moneybookers)","Online Bank Transfer (fornito da Moneybookers)"
"Order ID","ID ordine"
"POLi (powered by Moneybookers) - Australia","POLi (fornito da Moneybookers) - Australia"
"Payment failed.","Pagamento fallito"
"Payment from Applicable Countries","Pagamento da paesi autorizzati"
"Payment from Specific Countries","Pagamento da un paese specifico"
"Payment has not been processed yet.","Il pagamento non è stato ancora preso in carico."
"Payment was canceled.","Il pagamento è stato annullato."
"Pending bank transfer created.","In attesa del trasferimento bancario creato"
"Please pay your order now","Per favore paga ora il tuo ordine"
"Postepay (powered by Moneybookers) - Italy","Postepay (fornito da Moneybookers) – Italia"
"Powered by Moneybookers","Fornito da Moneybookers"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24 (fornito da Moneybookers) – Polonia"
"Sofortüberweisung (powered by Moneybookers) - Germany","Sofortüberweisung (fornito da Moneybookers) – Germania"
"Sort Order","Ordina"
"The amount has been authorized and captured by Moneybookers.","L\'importo è stato autorizzato e preso in carico da Moneybookers."
"The customer was redirected to Moneybookers.","Il cliente è stato reindirizzato su  Moneybookers."
"The order has been canceled.","Ordine cancellato."
"Title","Titolo"
"You will be redirected to our secure payment page when you place an order.","Sarai reindirizzato nella nostra pagina di pagamento sicuro quando effettuerai l'ordine."
"eNETS (powered by Moneybookers) - Singapore","eNETS (fornito da Moneybookers) - Singapore"
"iDeal (powered by Moneybookers) - Netherlands","iDeal (fornito da Moneybookers) - Paesi Bassi"
